Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded,domain,investor_page
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,2007,ir.diamondbackenergy.com,https://ir.diamondbackenergy.com/investors
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",5/18/2016,2004,digitalrealty.com,https://investor.digitalrealty.com
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1985,discover.com,https://investorrelations.discover.com/investor-relations/stock-information/request-information/default.aspx
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1980,dish.com,https://about.dish.com/contacts
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1923,disney.com,https://investor.disney.com
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,1939,dollargeneral.com,https://investor.dollargeneral.com
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,1986,dollartree.com,https://dollartree.com/investors
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983,dominionenergy.com,https://investors.dominionenergy.com/search-results/default.aspx
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1960,dominos.co.in,https://ir.dominos.com/
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,1955,dovercorporation.com,https://www.dovercorporation.com/investors/overview
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,2019,dow.com,https://investors.dow.com/en/reporting/default.aspx
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,1995,dteenergy.com,https://dteenergy.com/investors
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1904,duke-energy.com,https://investors.duke-energy.com/overview/default.aspx
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019,2017,dupont.com,https://investor.dupont.com
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,2017,dxc.com,https://investors.dxc.com/investor-relations/default.aspx
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1920,eastman.com,https://investors.eastman.com/overview/default.aspx
